CC 1 (24);1º SEM;SEG;TER;QUA;QUI;SEX;SÁB;;Desdob.;1º SEM;SEG;TER;QUA;QUI;SEX;SÁB;
14:20;15:10;LINGUAGENS;ALGORITMOS;COMPUTAÇÃO II;ALGORITMOS;SIS DIGITAIS;;;14:20;15:10;LINGUAGENS (D);ALGORITMOS (D);COMPUTAÇÃO II (D);ALGORITMOS (D);;;
15:30;16:20;COMPUTAÇÃO II;REDAÇÃO;SIS DIGITAIS;REDAÇÃO;CÁLCULO NUM;;;15:30;16:20;COMPUTAÇÃO II (D);;;;;;
16:20;17:10;COMPUTAÇÃO II;REDAÇÃO;SIS DIGITAIS;REDAÇÃO;CÁLCULO NUM;;;16:20;17:10;COMPUTAÇÃO II (D);;;;;;
17:10;18:00;;;;;CÁLCULO NUM;;;17:10;18:00;;;;;;;
18:00;18:50;;;;;;;;18:00;18:50;;;;;;;
18:50;19:40;;;;;;;;18:50;19:40;;;;;;;
19:40;20:30;;;;;;;;19:40;20:30;;;;;;;
20:30;21:20;;;;;;;;20:30;21:20;;;;;;;
2º SEM;;SEG;TER;QUA;QUI;SEX;SÁB;;2º SEM;;SEG;TER;QUA;QUI;SEX;SÁB;
7:30;8:20;;;;;;;;7:30;8:20;;;;;;;
8:20;9:10;;CONCEITOS;;;;;;8:20;9:10;;;;;;;
9:30;10:20;;CONCEITOS;;;;;;9:30;10:20;;;;;;;
10:20;11:10;;CONCEITOS;;;;;;10:20;11:10;;;;;;;
11:10;12:00;;;;;;;;11:10;12:00;;;;;;;
12:00;12:50;;;;;;;;12:00;12:50;;;;;;;
13:30;14:20;LINGUAGENS;ALGORITMOS;COMPUTAÇÃO II;ALGORITMOS;SIS DIGITAIS;;;13:30;14:20;LINGUAGENS (D);ALGORITMOS (D);COMPUTAÇÃO II (D);ALGORITMOS (D);;;
14:20;15:10;LINGUAGENS;ALGORITMOS;COMPUTAÇÃO II;ALGORITMOS;SIS DIGITAIS;;;14:20;15:10;LINGUAGENS (D);ALGORITMOS (D);COMPUTAÇÃO II (D);ALGORITMOS (D);;;
15:30;16:20;COMPUTAÇÃO II;ENG DE SOFTW;SIS DIGITAIS;ENG DE SOFTW;CÁLCULO NUM;;;15:30;16:20;COMPUTAÇÃO II (D);;;;;;
16:20;17:10;COMPUTAÇÃO II;ENG DE SOFTW;SIS DIGITAIS;ENG DE SOFTW;CÁLCULO NUM;;;16:20;17:10;COMPUTAÇÃO II (D);;;;;;
17:10;18:00;;;;;CÁLCULO NUM;;;17:10;18:00;;;;;;;
18:00;18:50;;;;;;;;18:00;18:50;;;;;;;
18:50;19:40;;;;;;;;18:50;19:40;;;;;;;
19:40;20:30;;;;;;;;19:40;20:30;;;;;;;
20:30;21:20;;;;;;;;20:30;21:20;;;;;;;
;;;;;;;;;;;;;;;;;
;CH;Disciplinas;;;;Docentes;;;;;;;;;;;
;4;ALGORITMOS;ALGORITMOS E ESTRUTURAS DE DADOS;;;;ANDRÉS;;;;;;;;;;
;4;ALGORITMOS (D);ALGORITMOS E ESTRUTURAS DE DADOS (DESDOBRAMENTO);;;;;;;;;;;;;;
;1,5;ARQUITETURA;INTRODUÇÃO À ARQUITETURA DE COMPUTADORES (1º SEM.);;;;ZALEWSKI;;;;;;;;;;
;3;CÁLCULO NUM;CÁLCULO NUMÉRICO;;;;ANDRÉ;;;;;;;;;;
;4;COMPUTAÇÃO II;COMPUTAÇÃO II;;;;RÔMULO;;;;;;;;;;
;4;COMPUTAÇÃO II (D);COMPUTAÇÃO II (DESDOBRAMENTO);;;;;;;;;;;;;;
;1,5;CONCEITOS;CONCEITOS DE LINGUAGENS DE PROGRAMAÇÃO (2º SEM.);;;;ZALEWSKI;;;;;;;;;;
;2;ENG DE SOFTW;INTRODUÇÃO À ENGENHARIA DE SOFTWARE (2º SEM.);;;;ELIANE;;;;;;;;;;
;2;LINGUAGENS;LINGUAGENS FORMAIS E AUTÔMATOS;;;;RÔMULO;;;;;;;;;;
;2;LINGUAGENS (D);LINGUAGENS FORMAIS E AUTÔMATOS (DESDOBRAMENTO);;;;;;;;;;;;;;
;2;REDAÇÃO;TÉCNICAS DE REDAÇÃO E METODOLOGIA CIENTÍFICA (1º SEM.);;;;LEONILDA;;;;;;;;;;
;4;SIS DIGITAIS;SISTEMAS DIGITAIS;;;;CARLOS H;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
CC 3 (29);;SEG;TER;QUA;QUI;SEX;SÁB;;Desdob.;;SEG;TER;QUA;QUI;SEX;SÁB;
7:30;8:20;BANCO DE DADOS;ARQUITETURA;ALGORITMOS;ENG DE SOFT I;COMPILADORES;;;7:30;8:20;;;;;;;
8:20;9:10;BANCO DE DADOS;ARQUITETURA;ALGORITMOS;ENG DE SOFT I;COMPILADORES;;;8:20;9:10;;;;;;;
9:30;10:20;BANCO DE DADOS;ARQUITETURA;ALGORITMOS;FORMAÇÃO;;;;9:30;10:20;;;;;;;
10:20;11:10;SIS OPER;FORMAÇÃO;SIS OPER;FORMAÇÃO;;;;10:20;11:10;;;;;;;
11:10;12:00;SIS OPER;FORMAÇÃO;SIS OPER;;;;;11:10;12:00;;;;;;;
12:00;12:50;;;;;;;;12:00;12:50;;;;;;;
13:30;14:20;;;;;;;;13:30;14:20;;;;;;;
14:20;15:10;;;;;;;;14:20;15:10;;;;;;;
15:30;16:20;;;;;;;;15:30;16:20;;;;;;;
16:20;17:10;;;;EST SUP;EST SUP;;;16:20;17:10;;;;;;;
17:10;18:00;;;;EST SUP;EST SUP;;;17:10;18:00;;;;;;;
18:00;18:50;;ENG DE SOFT I;;;;;;18:00;18:50;;;;;;;
18:50;19:40;;ENG DE SOFT I;;;;;;18:50;19:40;;;;;;;
19:40;20:30;;;;;;;;19:40;20:30;;;;;;;
20:30;21:20;;;;;;;;20:30;21:20;;;;;;;
2º SEM;;SEG;TER;QUA;QUI;SEX;SÁB;;2º SEM;;SEG;TER;QUA;QUI;SEX;SÁB;
7:30;8:20;BANCO DE DADOS;ARQUITETURA;ALGORITMOS;ENG DE SOFT I;COMPILADORES;;;7:30;8:20;;;;;;;
8:20;9:10;BANCO DE DADOS;ARQUITETURA;ALGORITMOS;ENG DE SOFT I;COMPILADORES;;;8:20;9:10;;;;;;;
9:30;10:20;BANCO DE DADOS;ARQUITETURA;ALGORITMOS;FORMAÇÃO;;;;9:30;10:20;;;;;;;
10:20;11:10;REDES;FORMAÇÃO;REDES;FORMAÇÃO;;;;10:20;11:10;;;;;;;
11:10;12:00;REDES;FORMAÇÃO;REDES;;;;;11:10;12:00;;;;;;;
12:00;12:50;;;;;;;;12:00;12:50;;;;;;;
13:30;14:20;;;;;;;;13:30;14:20;;;;;;;
14:20;15:10;;;;;;;;14:20;15:10;;;;;;;
15:30;16:20;;;;;;;;15:30;16:20;;;;;;;
16:20;17:10;;;;EST SUP;EST SUP;;;16:20;17:10;;;;;;;
17:10;18:00;;;;EST SUP;EST SUP;;;17:10;18:00;;;;;;;
18:00;18:50;;ENG DE SOFT I;;;;;;18:00;18:50;;;;;;;
18:50;19:40;;ENG DE SOFT I;;;;;;18:50;19:40;;;;;;;
19:40;20:30;;;;;;;;19:40;20:30;;;;;;;
20:30;21:20;;;;;;;;20:30;21:20;;;;;;;
;;;;;;;;;;;;;;;;;
;CH;Disciplinas;;;;Docentes;;;;;;;;;;;
;3;ALGORITMOS;PROJETO E ANÁLISE DE ALGORITMOS;;;;RÔMULO;;;;;;;;;;
;3;ARQUITETURA;ORGANIZAÇÃO E ARQUITETURA DE COMPUTADORES;;;;FABIANA;;;;;;;;;;
;3;BANCO DE DADOS;BANCO DE DADOS;;;;GIL;;;;;;;;;;
